"date","n_refugees"
2013-03-08,790820
2013-03-09,834567
2013-03-10,835430
2013-03-11,889019
2013-03-12,894289
2013-03-13,904409
2013-03-14,907425
2013-03-15,911784
2013-03-17,922718
2013-03-18,926725
2013-03-19,930264
2013-03-20,934280
2013-03-21,937253
2013-03-22,948780
2013-03-23,948725
2013-03-24,950757
2013-03-25,972439
2013-03-26,978982
2013-03-27,986639
2013-03-28,992167
2013-03-29,993743
2013-03-31,994246
2013-04-01,1005544
2013-04-02,1014558
2013-04-03,1021993
2013-04-04,1027123
2013-04-05,1063919
2013-04-06,1064495
2013-04-07,1071822
2013-04-08,1080456
2013-04-09,1087308
2013-04-10,1095022
2013-04-11,1102843
2013-04-12,1108364
2013-04-13,1108136
2013-04-14,1112599
2013-04-15,1124095
2013-04-16,1133087
2013-04-17,1139210
2013-04-18,1148491
2013-04-20,1157036
2013-04-21,1164512
2013-04-22,1196882
2013-04-23,1205757
2013-04-24,1213869
2013-04-25,1220847
2013-04-26,1224903
2013-04-29,1235225
2013-04-30,1245963
2013-05-01,1246504
2013-05-02,1257460
2013-05-03,1260228
2013-05-05,1260921
2013-05-06,1265066
2013-05-07,1268412
2013-05-08,1274485
2013-05-09,1228257
2013-05-10,1232927
2013-05-12,1234689
2013-05-13,1275768
2013-05-14,1275693
2013-05-15,1313379
2013-05-16,1319620
2013-05-17,1323904
2013-05-18,1323866
2013-05-19,1324471
2013-05-20,1337317
2013-05-21,1351717
2013-05-22,1358806
2013-05-23,1370125
2013-05-24,1373882
2013-05-26,1374865
2013-05-27,1403494
2013-05-28,1410865
2013-05-29,1417527
2013-05-30,1423807
2013-05-31,1423036
2013-06-03,1409640
2013-06-04,1416104
2013-06-05,1430995
2013-06-06,1437839
2013-06-07,1440662
2013-06-09,1442971
2013-06-10,1456463
2013-06-11,1456412
2013-06-12,1464755
2013-06-13,1470603
2013-06-14,1474184
2013-06-16,1476497
2013-06-17,1490186
2013-06-18,1495501
2013-06-19,1499819
2013-06-20,1510354
2013-06-21,1512160
2013-06-23,1516510
2013-06-24,1521582
2013-06-25,1528358
2013-06-26,1547643
2013-06-27,1552994
2013-06-28,1555426
2013-06-30,1558395
2013-07-01,1561526
2013-07-02,1569179
2013-07-03,1574346
2013-07-04,1579339
2013-07-07,1582495
2013-07-08,1593920
