country,n_affected
Yemen,13100000
Syria,9300000
Afghanistan,9000000
Sudan,6100000
Burkina Faso,5514000
Niger,5132000
South Sudan,4400000
Central African Rep.,2200000
Zimbawe,2200000
Somalia,2120000
Myanamar,909000
Haiti,817000
Djibuti,400000
