country,n_affected
Afghanistan,9000000
Burkina Faso,5514000
Central African Republic,2200000
Djibuti,400000
Democratic Republic of Congo,6400000
Haiti,817000
Myanamar,909000
Niger,5132000
Sudan,6100000
Somalia,2120000
South Sudan,4400000
Syria,9300000
Yemen,13100000
Zimbawe,2200000
