date,syria,car
2013-04-30,1245963,92221
2013-05-01,1246504,92221
2013-05-02,1257460,92221
2013-05-03,1260228,92221
2013-05-05,1260921,92221
2013-05-06,1265066,92221
2013-05-07,1268412,92221
2013-05-08,1274485,92221
2013-05-09,1228257,92221
2013-05-10,1232927,92221
2013-05-12,1234689,92221
2013-05-13,1275768,92221
2013-05-14,1275693,92221
2013-05-15,1313379,92221
2013-05-16,1319620,92221
2013-05-17,1323904,92221
2013-05-18,1323866,92221
2013-05-19,1324471,92221
2013-05-20,1337317,92221
2013-05-21,1351717,92221
2013-05-22,1358806,92221
2013-05-23,1370125,92221
2013-05-24,1373882,92221
2013-05-26,1374865,92221
2013-05-27,1403494,92221
2013-05-28,1410865,92221
2013-05-29,1417527,92221
2013-05-30,1423807,92221
2013-05-31,1423036,92221
2013-06-03,1409640,92221
2013-06-04,1416104,92221
2013-06-05,1430995,92221
2013-06-06,1437839,92221
2013-06-07,1440662,92221
2013-06-09,1442971,92221
2013-06-10,1456463,92221
2013-06-11,1456412,92221
2013-06-12,1464755,92221
2013-06-13,1470603,92221
2013-06-14,1474184,92221
2013-06-16,1476497,92221
2013-06-17,1490186,92221
2013-06-18,1495501,92221
2013-06-19,1499819,92221
2013-06-20,1510354,92221
2013-06-21,1512160,92221
2013-06-23,1516510,92221
2013-06-24,1521582,92221
2013-06-25,1528358,92221
2013-06-26,1547643,92221
2013-06-27,1552994,92221
2013-06-28,1555426,92221
2013-06-30,1558395,92221
2013-07-01,1561526,92221
2013-07-02,1569179,92221
2013-07-03,1574346,92221
2013-07-04,1579339,92221
2013-07-07,1582495,92221
2013-07-08,1593920,92221
2013-07-09,1597562,92221
2013-07-10,1605576,92221
2013-07-11,1594804,92221
2013-07-12,1597452,92221
2013-07-13,1598259,92221
2013-07-14,1606134,92221
2013-07-15,1613864,92221
2013-07-16,1616693,92221
2013-07-17,1635861,92221
2013-07-18,1638915,92221
2013-07-19,1641470,92221
2013-07-21,1641860,92221
2013-07-22,1661833,92221
2013-07-23,1665743,92221
2013-07-24,1671373,92221
2013-07-25,1675695,92221
2013-07-26,1677517,92221
2013-07-28,1679974,92221
2013-07-29,1683945,92221
2013-07-30,1694277,92221
2013-07-31,1701365,92221
2013-08-01,1705820,92221
2013-08-02,1707952,92221
2013-08-04,1708283,92221
2013-08-05,1718857,92221
2013-08-06,1714485,92221
2013-08-07,1721209,92221
2013-08-08,1723923,92221
2013-08-09,1724584,92221
2013-08-11,1726010,92221
2013-08-12,1728870,92221
2013-08-13,1733914,92221
2013-08-14,1738985,92221
2013-08-15,1741843,92221
2013-08-16,1744155,92221
2013-08-18,1741896,92221
2013-08-19,1754278,92221
2013-08-20,1763747,92221
2013-08-21,1767135,92221
2013-08-22,1775992,92221
2013-08-23,1778420,92221
2013-08-24,1778429,92221
2013-08-25,1779634,92221
2013-08-26,1787366,92221
2013-08-27,1813578,92221
2013-08-28,1820862,92221
2013-08-29,1830557,92221
2013-08-31,1834708,92221
2013-09-01,1840028,92221
2013-09-02,1855939,92221
2013-09-03,1866429,92221
2013-09-04,1869063,92221
2013-09-05,1872067,92221
2013-09-06,1874246,92221
2013-09-09,1877020,92221
2013-09-12,1885818,92221
2013-09-14,1889185,92221
2013-09-16,1928940,92221
2013-09-17,1932391,92221
2013-09-18,1961539,92221
2013-09-19,1962989,92221
2013-09-21,1969213,92221
2013-09-22,1981868,92221
2013-09-23,1985111,92221
2013-09-24,1993915,92221
2013-09-25,1993882,92221
2013-09-26,1994779,92221
2013-09-27,2002456,92221
2013-09-29,2002825,92221
2013-09-30,2005752,92221
2013-10-01,2017839,92221
2013-10-02,2030271,92221
2013-10-03,2041175,92221
2013-10-04,2043805,92221
2013-10-06,2046232,92221
2013-10-07,2053173,92221
2013-10-08,2061018,92221
2013-10-09,2065004,92221
2013-10-10,2070846,92221
2013-10-11,2070850,92221
2013-10-13,2071459,92221
2013-10-14,2077517,92221
2013-10-16,2079904,92221
2013-10-17,2083652,92221
2013-10-19,2086233,92221
2013-10-20,2086967,92221
2013-10-21,2089473,92221
2013-10-22,2095450,92221
2013-10-23,2100034,92221
2013-10-24,2103707,92221
2013-10-25,2109426,92221
2013-10-27,2109535,92221
2013-10-28,2114725,92221
2013-10-29,2117104,92221
2013-10-30,2106920,92221
2013-10-31,2112829,92221
2013-11-01,2113414,92221
2013-11-02,2119120,92221
2013-11-03,2121535,92221
2013-11-04,2121572,92221
2013-11-05,2159923,92221
2013-11-06,2158212,92221
2013-11-07,2153072,92221
2013-11-08,2178259,92221
2013-11-10,2179837,92221
2013-11-11,2167774,92221
2013-11-12,2173086,92221
2013-11-13,2176160,92221
2013-11-14,2179458,92221
2013-11-15,2181948,92221
2013-11-17,2188409,92221
2013-11-18,2191223,92221
2013-11-19,2196605,92221
2013-11-20,2202071,92221
2013-11-21,2205419,92221
2013-11-24,2205562,92221
2013-11-25,2208673,92221
2013-11-26,2216699,92221
2013-11-27,2229191,92221
2013-11-28,2233205,92221
2013-11-30,2246131,97370
2013-12-02,2246171,97370
2013-12-03,2252398,97370
2013-12-04,2256118,145287
2013-12-05,2259342,145287
2013-12-06,2261500,145287
2013-12-08,2264623,145287
2013-12-09,2269094,145287
2013-12-10,2272818,145287
2013-12-11,2275733,145287
2013-12-12,2279654,145287
2013-12-14,2282276,145287
2013-12-15,2283182,145287
2013-12-16,2299705,155519
2013-12-17,2299696,155519
2013-12-18,2306664,226505
2013-12-19,2308438,226505
2013-12-22,2309788,226505
2013-12-23,2314211,226505
2013-12-24,2315552,226505
2013-12-25,2316800,226505
2013-12-26,2320154,226505
2013-12-27,2322264,226505
2013-12-29,2325350,226505
2013-12-30,2327737,226505
2013-12-31,2301668,227492
2014-01-01,2301533,227492
2014-01-02,2303746,227492
2014-01-03,2304870,227492
2014-01-05,2310299,227492
2014-01-06,2316667,227492
2014-01-07,2319063,227492
2014-01-08,2321837,227492
2014-01-09,2325533,227492
2014-01-10,2330256,227492
2014-01-12,2332239,227492
2014-01-13,2332688,227492
2014-01-14,2335685,227492
2014-01-15,2344470,227492
2014-01-16,2346697,227492
2014-01-18,2348875,227492
2014-01-19,2354593,227492
2014-01-20,2364103,227492
2014-01-21,2366732,227492
2014-01-22,2373446,227492
2014-01-23,2377984,227492
2014-01-24,2380063,227492
2014-01-26,2383367,227492
2014-01-27,2388054,227492
2014-01-28,2391309,227492
2014-01-29,2394028,227492
2014-01-30,2396806,227492
2014-01-31,2398976,227492
2014-02-02,2412679,227492
2014-02-03,2416113,227492
2014-02-04,2417736,227492
2014-02-05,2426077,227492
2014-02-06,2433755,239937
2014-02-07,2435767,239937
2014-02-09,2444567,240419
2014-02-10,2447731,240419
2014-02-11,2450156,240419
2014-02-12,2453278,240419
2014-02-13,2429299,240419
2014-02-14,2431147,240419
2014-02-16,2440448,240419
2014-02-17,2438687,240419
2014-02-18,2443007,240419
2014-02-19,2444928,241878
2014-02-20,2448919,241878
2014-02-21,2450810,241878
2014-02-23,2461136,241878
2014-02-24,2464006,241878
2014-02-25,2465337,241878
2014-02-26,2470945,241878
2014-02-27,2474297,241878
2014-02-28,2481506,247381
2014-03-02,2481606,247381
2014-03-03,2483975,247381
2014-03-04,2486221,247381
2014-03-05,2493848,247381
2014-03-06,2495768,247381
2014-03-07,2498312,247381
2014-03-09,2510517,247381
2014-03-10,2512901,247381
2014-03-11,2516257,247381
2014-03-12,2518356,247381
2014-03-13,2520267,247381
2014-03-15,2522944,247381
2014-03-16,2530929,247381
2014-03-17,2532253,247381
2014-03-18,2534613,247381
2014-03-19,2537014,294248
2014-03-20,2540148,294248
2014-03-22,2542240,297725
2014-03-23,2544736,297725
2014-03-24,2547889,297725
2014-03-25,2551671,299091
2014-03-26,2554371,299091
2014-03-27,2556972,299091
2014-03-28,2558091,299091
2014-03-30,2575825,299091
2014-03-31,2577318,301758
2014-04-01,2580070,301965
2014-04-02,2582765,301965
2014-04-03,2585182,301965
2014-04-05,2600675,324827
2014-04-06,2600104,324827
2014-04-07,2604403,324827
2014-04-08,2606994,324827
2014-04-09,2609645,324827
2014-04-10,2611099,324827
2014-04-11,2611099,326700
2014-04-12,2614079,326700
2014-04-13,2647871,326700
2014-04-14,2650244,336753
2014-04-15,2636777,337031
2014-04-16,2638509,337031
2014-04-17,2641162,330878
2014-04-18,2641162,330926
2014-04-20,2643913,330926
2014-04-21,2643822,330926
2014-04-22,2646559,330926
2014-04-23,2646151,330947
2014-04-24,2645970,330947
2014-04-25,2653939,337345
2014-04-26,2659538,337345
2014-04-27,2659650,337345
2014-04-28,2662432,342638
2014-04-29,2668061,342229
2014-04-30,2689288,342344
2014-05-01,2689042,342344
2014-05-02,2691072,342344
2014-05-04,2690478,342344
2014-05-05,2692700,342344
2014-05-06,2694465,342344
2014-05-07,2696844,342344
2014-05-08,2699229,342535
2014-05-10,2702137,342535
2014-05-11,2708667,340763
2014-05-12,2712114,340763
2014-05-13,2714677,340763
2014-05-14,2716800,340763
2014-05-15,2723596,340904
2014-05-17,2725008,340904
2014-05-18,2725008,340954
2014-05-19,2732327,340954
2014-05-20,2737514,340954
2014-05-21,2739409,340954
2014-05-22,2739258,340954
2014-05-25,2753163,346698
2014-05-26,2753074,346909
2014-05-27,2760156,346909
2014-05-28,2760224,346909
2014-05-29,2764645,346909
2014-05-30,2768041,346909
2014-06-01,2768009,346909
2014-06-02,2764306,346909
2014-06-03,2766369,346909
2014-06-04,2767354,346909
2014-06-05,2768031,346909
2014-06-05,2771190,346909
2014-06-08,2773436,346909
2014-06-09,2775445,345889
2014-06-09,2775445,347386
2014-06-10,2787395,347386
2014-06-11,2789300,347386
2014-06-11,2788863,347386
2014-06-12,2792480,347386
2014-06-12,2792551,347386
2014-06-15,2792551,345857
2014-06-15,2792551,346521
2014-06-16,2805396,346521
2014-06-17,2807527,346521
2014-06-18,2815209,346521
2014-06-19,2816731,346521
2014-06-19,2816741,346521
2014-06-22,2825296,346521
2014-06-23,2827058,346521
2014-06-24,2828635,346521
2014-06-26,2831254,346521
2014-06-26,2834961,346521
2014-06-26,2834976,346521
2014-06-27,2834976,376448
2014-06-28,2837261,376448
2014-07-01,2842718,376448
2014-07-02,2846419,376448
2014-07-03,2846821,376448
2014-07-06,2846821,383437
2014-07-07,2854211,383437
2014-07-08,2863491,383437
2014-07-09,2863595,383437
2014-07-09,2867672,383437
2014-07-10,2869814,383437
2014-07-10,2869807,383437
2014-07-13,2869807,383253
2014-07-14,2872299,383253
2014-07-15,2875299,383253
2014-07-16,2875497,383253
2014-07-17,2875526,383253
2014-07-17,2884374,383253
2014-07-20,2884651,383253
2014-07-21,2884130,384230
2014-07-21,2890778,384230
2014-07-23,2893110,384230
2014-07-24,2897161,384230
2014-07-24,2895347,384230
2014-07-27,2897479,384230
