letter	frequency
Afghanistan	8.375
Central African Republic	15.724
Cote d'Ivoire	14.638
Congo, Dem. Rep.	15.963
Colombia	5.545
Eritrea	7.21
Ethiopia	8.128
Haiti	8.8
Indonesia	6.289
Kenya	8.789
Sri Lanka	7.017
Mali	13.699
Myanmar	8.491
Niger	11.502
Pakistan	7.025
Philippines	5.998
occupied Palestinian territories	3.51
Sudan	8.526
Sudan	12.774
South Sudan	12.455
Syrian Arab Republic	3.737
Chad	15.046
Yemen	7.392
Zimbabwe	10.591
